image,frequency,alpha,beta,dielectric
waveform_0.png,6916178438.80027,0.0712691664830082,4.867336307873808,8.945019179840418
waveform_1.png,3961670241.622207,0.4383528953368936,2.8378960599743963,11.33595680508058
waveform_2.png,3773629586.070104,0.3158741537754546,3.0685139423430257,7.384418565580508
waveform_3.png,6771357985.280036,0.444715792971061,5.689248804125611,3.0444206531814
waveform_4.png,5344952239.240873,0.1636351113483129,3.321754529239628,6.301300540807216
waveform_5.png,1042910385.9921062,0.2545205035225962,4.545877060418119,9.59638867753278
waveform_6.png,459640547.3626943,0.3396377564368937,1.9102847297932144,11.437606017261905
waveform_7.png,9913884465.947046,0.0698213310684456,0.3398138654481741,11.281389612758309
waveform_8.png,1282847080.926397,0.0367483980781829,1.410502915523349,5.249304045833922
waveform_9.png,6137218974.514051,0.1340150722846081,0.97568678717265,3.134557494538201
